genes,C1,C2,T1,T2
210544,3.62,15.6,10.98,10.65
210573,0,13.72,16.73,16.24
210582,21.03,11.83,13.18,8.96
210622,6.72,0,0,0
210710,0.69,0.51,1.35,1.01
210711,15.34,41.15,31.43,32.98
210719,0.34,2.74,5.74,2.03
210762,0,0.51,0.84,1.01
210766,12.41,25.72,30.92,21.14
210789,3.1,4.46,4.9,5.92
210801,0,0.69,0,0.34
210808,1.38,4.12,4.22,6.09
210853,0,0.34,0.34,0
210925,5.52,16.46,15.04,11.5
210933,0,0.34,0,0
210973,56.72,61.56,64.21,66.97
210982,7.59,3.94,5.24,3.72
210992,10.69,12.35,17.23,5.58
210998,160.84,102.19,104.08,101.14
211006,0.52,0,0,0
211007,85.51,45.61,51.36,57.33
211064,6.72,11.49,10.64,10.49
211135,1.55,1.37,0.84,2.37
211147,0,0.69,0.34,1.35
211151,0,1.37,0,0
211228,1.72,0,0,0.51
211232,5.34,0,0,0
211253,2.07,1.37,1.69,1.69
211255,1.72,8.23,9.63,8.12
211286,29.82,7.54,8.28,9.64
211323,0,1.37,0.84,0.34
211329,19.82,19.2,16.9,19.62
211347,42.41,19.38,24.5,24.69
211378,0,0.51,2.2,1.18
211383,1.9,1.2,1.01,1.35
211389,30.17,7.2,4.39,5.24
211401,17.07,10.63,7.6,10.15
211429,2.76,4.97,3.72,6.43
211446,20.17,26.23,25.34,29.93
211482,0,0.34,0.34,0.34
211484,0.52,0,0,0
211488,21.03,46.64,39.2,35.52
211499,59.65,54.35,42.58,54.12
211535,5.34,5.49,7.1,4.4
211548,77.58,40.98,38.86,65.62
211550,1.9,0,0.68,1.52
211556,4.31,7.72,7.94,7.95
211577,18.27,0,0.34,0
211586,7.76,41.49,43.42,27.06
211612,0.34,0.34,0.34,0.68
211651,1.03,1.71,0.84,1.18
211652,3.1,2.23,3.89,2.2
211660,4.14,5.66,7.94,3.04
211666,11.72,0.51,0.68,5.07
211673,35.51,27.95,24.33,26.38
211712,0,0,0.51,0.34
211739,0,0,0.84,0
211770,6.21,9.09,5.58,3.21
211798,0.69,0.69,0.84,0.34
211896,2.24,1.54,1.52,2.03
211914,12.24,30.69,35.31,28.75
211922,16.89,42.69,32.78,27.23
211936,0.69,0,0,0
211945,116.36,19.55,16.56,23.68
211948,19.82,19.72,24.84,19.79
211949,0,10.29,12.5,4.9
211961,0,11.49,12.67,9.98
211978,24.65,14.92,17.57,18.6
211986,35,43.72,42.92,28.92
212032,0.69,3.26,1.86,0
212070,0,0,0,3.72
212090,7.76,7.37,5.41,7.44
212111,18.62,21.6,36.16,37.88
212114,1.55,0,0,0.34
212123,38.27,89.16,88.03,88.45
212127,6.21,20.4,13.69,11.84
212139,14.65,11.66,8.96,8.29
212153,6.03,8.92,8.45,9.81
212163,2.93,2.06,3.55,2.2
212167,2.41,1.03,0.34,0.34
212168,3.45,13.03,8.11,7.61
212190,0,0.51,1.52,0
212198,5.17,4.12,4.06,3.55
212276,4.31,18.35,17.4,14.38
212281,5,6.34,6.59,5.92
212285,21.72,1.2,0.51,3.21
212307,30,40.81,39.2,30.1
212326,3.96,7.89,7.94,5.07
212377,7.24,30.69,23.49,23.51
212390,0,0,0.68,0
212398,0.69,6.69,5.07,3.55
212427,0,0,0.34,0
212439,3.96,1.2,1.86,6.76
212442,5.52,2.4,1.86,4.06
212448,0,2.23,4.73,0.68
212483,70.68,183.3,244.83,161.51
212503,12.41,26.41,20.61,22.83
212508,5,7.89,5.24,7.61
212514,3.62,8.74,8.96,5.58
212516,1.21,2.4,2.03,1.18
212517,0,0.34,0,0
212528,19.48,26.58,26.7,26.04
